"reg","yr","egy_hh"
"idn",2014,48.7124172391761
"mys",2014,1.04300811052859
"phl",2014,3.99392605592561
"sgp",2014,0.052988
"tha",2014,7.24976039595088
"vnm",2014,12.849547
"bgd",2014,11.439827
"ind",2014,131.352327591027
"lka",2014,3.005661
"xsa",2014,57.8522675460539
"can",2014,19.6641362825803
"usa",2014,152.405726527822
"mex",2014,7.011758
"xcm",2014,29.640919533147
"col",2014,3.98065652474449
"per",2014,2.21035112241122
"ven",2014,1.019029
"xap",2014,0.640399854075987
"arg",2014,9.16393620213713
"bra",2014,10.2583616599981
"chl",2014,2.184695
"ury",2014,0.331747703230465
"xsm",2014,2.68097014353263
"aut",2014,2.87840209958455
"bel",2014,3.66160822763812
"dnk",2014,1.50368554102346
"fin",2014,1.49477297916274
"fra",2014,17.4578765077679
"deu",2014,25.6323647698024
"gbr",2014,24.3271756444869
"grc",2014,1.26751199809265
"irl",2014,0.928966370016751
"ita",2014,21.3717355657609
"lux",2014,0.252030000109363
"nld",2014,6.99850927964154
"prt",2014,1.16827637307351
"esp",2014,6.35958136777125
"swe",2014,1.30847182969405
"che",2014,1.71768153597875
"xef",2014,0.576101111603556
"alb",2014,0.175797216261756
"bgr",2014,0.929969945208456
"hrv",2014,1.46727240547338
"cze",2014,4.24163012354053
"hun",2014,4.15083729705893
"mlt",2014,0.00646228199705892
"pol",2014,12.157432708326
"rou",2014,5.42542746187709
"svk",2014,1.1395877063478
"svn",2014,0.549585886370475
"est",2014,0.429780525390448
"lva",2014,0.68642192131244
"ltu",2014,0.691235941520874
"rus",2014,42.011717
"xsu",2014,35.1214141945739
"cyp",2014,0.0665471360926927
"tur",2014,14.2774315397062
"xme",2014,39.266835
"mar",2014,0.584403
"xnf",2014,9.622142
"bwa",2014,0.532626
"xsc",2014,13.5305539490028
"mwi",2014,1.64574114111913
"moz",2014,7.221865
"tza",2014,14.364493
"zmb",2014,4.927682
"zwe",2014,6.73960615057142
"xac",2014,22.252856
"uga",2014,7.71053549767715
"xss",2014,197.000027251801
"xtw",2014,302.600566301251
