"reg","yr","unit","va_pr","va_fp","va_cn"
"can",2014,"millions",795641.111635084,795719.771831533,847902.755656851
"usa",2014,"millions",10455331.8801406,10430514.6350558,10565911.4610547
"mex",2014,"millions",628181.807036678,680146.274933821,667850.357879857
"xcm",2014,"millions",277142.675178327,289238.929825347,305133.603200933
"col",2014,"millions",155200.258401212,152651.789359799,161401.037076844
"per",2014,"millions",117630.258897272,106840.102301746,116686.54287017
"ven",2014,"millions",120654.991042215,121448.037949445,132203.031707407
"xap",2014,"millions",59150.573006841,53459.8231619174,58865.00620825
"arg",2014,"millions",378407.221231704,365788.563842413,362667.745702863
"bra",2014,"millions",1084296.18109737,1098289.08741736,1118136.54302251
"chl",2014,"millions",144316.232570752,130697.447401275,137375.702942183
"ury",2014,"millions",28462.1871770458,29017.2382374824,29521.3945547002
"xsm",2014,"millions",18400.2485637965,18320.1161386745,21105.337036071
"aut",2014,"millions",189124.665143384,191067.345597824,188243.35266438
"bel",2014,"millions",220891.407647382,268826.3982622,258342.768047186
"dnk",2014,"millions",159709.359476081,160336.122280678,153176.036222639
"fin",2014,"millions",127571.662905683,125196.342163624,123457.921287607
"fra",2014,"millions",1158605.736436,1237196.60398976,1249307.69537196
"deu",2014,"millions",1942542.3640239,1913820.74402741,1784789.0304004
"gbr",2014,"millions",1621266.2532545,1621470.47233825,1656900.14438292
"grc",2014,"millions",104716.926671912,112071.848832758,120281.523005381
"irl",2014,"millions",134374.109212516,109142.713039571,85613.5619221423
"ita",2014,"millions",934003.176144689,973727.207543597,932625.786163027
"lux",2014,"millions",27396.2697315605,42051.6590159676,39996.7299866718
"nld",2014,"millions",387085.251330798,390161.74318092,358077.943419727
"prt",2014,"millions",98346.5804695822,101642.298612596,102512.774742091
"esp",2014,"millions",607903.128053132,628435.394596498,616200.457384005
"swe",2014,"millions",259230.711067126,248865.52114714,246096.905658799
"che",2014,"millions",350983.651964351,336343.516316756,332559.893007843
"xef",2014,"millions",187397.735292901,168766.734944172,183228.679724174
"alb",2014,"millions",4348.23891990112,4646.23860845297,5838.82490415183
"bgr",2014,"millions",14406.8467978607,19069.239679722,19992.5340223756
"hrv",2014,"millions",21966.95225933,22720.2451282621,23912.0771910658
"cze",2014,"millions",80554.2467970724,86274.8924441333,72238.3117901056
"hun",2014,"millions",47893.8280999023,57651.127169448,47070.0917454164
"mlt",2014,"millions",4321.45660614908,5991.24613258003,6816.07059851665
"pol",2014,"millions",223631.710404064,234200.915983424,232408.328861629
"rou",2014,"millions",47746.4405699452,54951.782966785,63094.8413536478
"svk",2014,"millions",39964.7120917912,43309.2870261846,40064.5681649114
"svn",2014,"millions",21444.6828387756,21826.5719282582,21437.6380635987
"est",2014,"millions",6983.57869235628,9350.64352318427,9469.78197158704
"lva",2014,"millions",9338.00682768246,10363.7005092302,12654.3324294884
"ltu",2014,"millions",15592.0873968749,17622.6561529562,18906.2459941307
"rus",2014,"millions",583189.896294104,537581.124352423,633384.193919645
"xsu",2014,"millions",255263.200621136,236965.090078407,268347.057458326
"cyp",2014,"millions",14282.7069852973,11968.7580510892,11141.5685196941
"tur",2014,"millions",257989.677392075,302287.10720254,305780.430382812
"xme",2014,"millions",1048727.97564001,843340.832135765,1019068.24354566
"mar",2014,"millions",74347.2090136414,75891.6657470337,76479.2338257766
"xnf",2014,"millions",288514.318746662,301065.557785978,314433.149575131
"bwa",2014,"millions",10091.6121253921,7808.1757786455,9251.05278390191
"xsc",2014,"millions",227091.4497138,211826.135684959,214421.033043679
"mwi",2014,"millions",4944.71604099497,4782.83236451721,4662.95875111706
"moz",2014,"millions",13467.2561635572,11802.6429967342,13443.3341006718
"tza",2014,"millions",18483.8945201992,18584.8557575086,21971.3479915973
"zmb",2014,"millions",11162.9529958016,11526.0603516976,11863.5018314912
"zwe",2014,"millions",6349.91984914152,6724.7664221118,7539.06859168375
"xac",2014,"millions",42323.056909955,37925.0061389664,50228.8250251235
"uga",2014,"millions",17643.6498708344,16139.550292568,16266.5228758553
"xss",2014,"millions",335640.893272707,324903.744976059,380654.032020063
"xtw",2014,"millions",178655.335133904,171210.784107911,179933.118544225
