"reg","inv","period","act","int","sup","str","trd","mix","ehh","Total"
"ROU","Fin. Prod.","97-14",0.954563779238247,0.532031292500339,1.18424617565309,0.991295652893401,NA,0.99970713305688,1.00884050433187,0.601288118325158
"SVK","Fin. Prod.","97-14",0.874389451675851,0.444112008883838,1.1588443406244,0.945506466181965,NA,1.005584670266,0.981647058776817,0.42001137052451
"SVN","Fin. Prod.","97-14",0.958288393803728,0.779717990387602,1.50080161078559,0.863936847842752,NA,0.980545480223209,1.04044114813657,0.988380866556644
"SWE","Fin. Prod.","97-14",1.00804803639413,0.383154604994991,1.89074973795587,1.03836076443695,NA,1.00763655051098,1.01117073328885,0.772620095152315
"AUT","Fin. Cons.","97-14",0.960118027273942,0.734718740710304,1.55419193430437,1.02453779472379,1.03368762196398,1.00564339532618,1.00133924034324,1.16921111041616
"BEL","Fin. Cons.","97-14",0.964224731601718,0.791193718141148,1.30135813241047,1.02463782485629,1.00640238934629,1.00829298453688,1.00017317325612,1.03243309542471
"BGR","Fin. Cons.","97-14",1.03976488158771,0.365877053626693,1.86551862060199,0.884725898999357,0.922091904269101,1.00707581769753,1.04008726938404,0.60643576246855
"CYP","Fin. Cons.","97-14",0.857322250665018,0.599794993699067,2.08345354334991,1.14749636281479,1.05734725025561,0.894279316256574,1.02332784251306,1.18956365711713
"CZE","Fin. Cons.","97-14",0.941216007723229,0.527488289312996,1.42468859028077,1.04518872245088,1.02168345944095,0.999601057020484,0.994787950808208,0.751087222678802
"DEU","Fin. Cons.","97-14",0.978550924593164,0.694237729755256,1.26327303997104,1.08046174907886,1.0188821864974,0.999458925422512,0.997179811625019,0.941587459905343
"DNK","Fin. Cons.","97-14",0.978210377843298,0.529462599050291,1.70090365706598,1.11091198110861,1.04177501102041,1.0049446901113,1.01548201276622,1.04043570950156
"ESP","Fin. Cons.","97-14",0.963479946967717,0.806777084372678,1.21088559831358,1.0261894476121,1.02555355402392,1.00911298663254,1.02090758334502,1.02049636378194
"EST","Fin. Cons.","97-14",0.948654111679261,0.808406863410661,0.911467406272632,0.987134658970749,0.962743598999588,1.00828898343192,0.986725914480255,0.660918068868567
"FIN","Fin. Cons.","97-14",0.95729830911885,0.536444936438111,1.60851497464939,1.0453960673575,1.00365336414398,1.00736897779936,1.01428058197305,0.885541341022439
"FRA","Fin. Cons.","97-14",0.960763236232773,0.805955363796854,1.31439455511369,1.00463310388323,0.992846846023928,0.997891790280655,1.00151518961232,1.01457429028691
"GBR","Fin. Cons.","97-14",0.922407492211714,0.766614403409092,1.16374126639665,0.915646471922247,0.963790286076164,0.999601643987825,0.986312715084444,0.715992043106843
"GRC","Fin. Cons.","97-14",0.994606986308932,0.55131423654061,1.79598073718754,1.22046574479538,1.06855164447929,1.00651606547307,1.01044907254086,1.30619687228091
"HRV","Fin. Cons.","97-14",0.901899077375258,0.455070002377185,2.59118847529116,1.14715336331651,1.0609558450476,1.00552758980638,0.998684949196169,1.29979973199556
"HUN","Fin. Cons.","97-14",0.904337721371446,0.610064135502354,1.42248774581792,1.03731734178673,1.02068889108241,1.00391982916197,1.01147107626431,0.8437469224465
"IRL","Fin. Cons.","97-14",0.964783487072478,0.666985213548664,1.2144042758643,1.13916046907289,1.05125951336441,1.00818327236269,1.00124937313332,0.944682662028638
"ITA","Fin. Cons.","97-14",0.975641210565799,0.859917278877851,1.24192121330624,0.973833322140922,1.03756052972094,1.00649836231673,1.03180270558621,1.09332345579341
"LTU","Fin. Cons.","97-14",0.862400989001748,0.511305462077172,1.36607942185752,0.933369473686903,0.996326346957106,0.991608362013775,1.00666209881482,0.559171120512361
"LUX","Fin. Cons.","97-14",0.810376353403583,0.769100246005727,1.05258200629693,0.923805331699498,0.978157489559619,1.02650797522289,1.00559286878075,0.611926714736236
"LVA","Fin. Cons.","97-14",0.830766677968788,0.490764595295929,1.40430911966099,0.908076341602652,0.993465436882278,0.986048353858371,0.976820772888585,0.49751162343836
